epoch,train_loss,test_loss,train_acc,test_acc
1,0.9491207578987964,0.31108765393684185,70.675,90.76
2,0.261861976879492,0.19706515637756902,92.35666666666667,93.89
3,0.17222519071180936,0.14214232582834702,94.87166666666667,95.81
4,0.1245484213267308,0.11214430932592176,96.35166666666667,96.6
5,0.09661826614473167,0.09486620047400836,97.18666666666667,97.07
6,0.07992800045957062,0.08883936128938641,97.66333333333333,97.1
7,0.06481449046670627,0.09248822707317392,98.105,97.01
8,0.05401164263999189,0.08233576603499064,98.43333333333334,97.45
9,0.044492036909428934,0.07855418438454383,98.72166666666666,97.42
10,0.03882909552660832,0.07753424898443502,98.85,97.44
11,0.031329541844425046,0.07422894548313085,99.09833333333333,97.67
12,0.027106506898919785,0.08780286360540887,99.22,97.37
13,0.021690194888699697,0.06914378480659356,99.41833333333334,98.03
14,0.0165606624829565,0.0705701875734501,99.61,97.84
15,0.014046066568475336,0.07421458999269356,99.685,97.95
16,0.011154448171195859,0.06809517232982273,99.76833333333333,97.96
17,0.009387873619524782,0.07511920494553008,99.82,97.9
18,0.007397433141194809,0.07934465487442485,99.885,97.78
19,0.005913305451035071,0.07561703867878937,99.90666666666667,98.05
20,0.005227843892444342,0.07143242476712647,99.91,98.18
21,0.0033938500935014196,0.07410652666206986,99.97166666666666,98.1
22,0.0027130567733057416,0.07662641864581479,99.985,98.14
23,0.0022549894086689925,0.0750915613594926,99.98333333333333,98.19
24,0.001804314149293685,0.07639159560555607,99.99333333333334,98.04
25,0.0014898805181681515,0.07672616992721043,99.99666666666667,98.21
