epoch,train_loss,test_loss,train_acc,test_acc
1,1.0505514268491314,0.32661632453150385,66.47333333333333,89.97
2,0.29666592310994927,0.1851750003008903,91.28666666666666,94.33
3,0.20066593639822658,0.13371506643104308,94.11166666666666,95.72
4,0.15293442662845033,0.1080440002555452,95.52,96.67
5,0.1236326969119468,0.09533990801848424,96.33,97.03
6,0.10514250913583266,0.08730921210408729,96.93166666666667,97.19
7,0.08896019256540708,0.0792772017052409,97.37666666666667,97.54
8,0.08078461007745281,0.07211472983125751,97.62333333333333,97.88
9,0.07169158527377381,0.08141038183099296,97.77833333333334,97.41
10,0.06364388861901947,0.07027755360799853,98.09833333333333,97.89
11,0.05708323988809324,0.06806051992380968,98.25333333333333,97.91
12,0.051445596672689865,0.06821878579676541,98.42333333333333,98.0
13,0.04602879329896303,0.06482450952816053,98.585,98.0
14,0.04189813261214238,0.06338580046899032,98.69,98.12
15,0.036790875227017794,0.060025912236320624,98.84833333333333,98.06
16,0.0328738579590088,0.06402219346333207,98.94833333333334,98.2
17,0.03153214288670927,0.06387495463049957,99.01666666666667,98.16
18,0.030164756976973527,0.06252269619879464,99.03,98.25
19,0.026970572022498765,0.06136274292874054,99.14833333333333,98.16
20,0.025505801269125297,0.06018416814165189,99.20333333333333,98.27
21,0.02358748951528682,0.06288267940079648,99.26833333333333,98.23
22,0.020982017038392028,0.06470334335472792,99.35333333333334,98.18
23,0.020007879985099248,0.061550876570954295,99.375,98.37
24,0.018493373284805447,0.05960577527912392,99.425,98.31
25,0.01830364161976246,0.06559197464385658,99.42833333333333,98.3
