epoch,train_loss,test_loss,train_acc,test_acc
1,0.5815829339184995,0.377713653294346,85.48833333333333,90.12
2,0.37276424343652054,0.3329977523299712,89.79333333333334,91.01
3,0.34193359474256346,0.31514704500949836,90.5,91.21
4,0.3258995793457987,0.3052931490200984,90.89,91.52
5,0.315197721536734,0.2964221527682075,91.18166666666667,91.78
6,0.30754530757093734,0.2921416320944134,91.44833333333334,91.84
7,0.3018582961770263,0.28844320109184785,91.59333333333333,91.9
8,0.29725346020035653,0.285272563064966,91.68666666666667,91.94
9,0.2935815949175658,0.2826163356157043,91.82,92.15
10,0.2901614722031266,0.2821036730008789,91.92166666666667,91.97
11,0.2875374597844793,0.2794321346792239,91.97,92.19
12,0.2850690356958141,0.2770432086449258,92.07166666666667,92.07
13,0.28276979861292506,0.27817207673871064,92.16666666666667,92.21
14,0.28096492159595365,0.27565152714429775,92.18,92.23
15,0.2790955594226496,0.2736595339507242,92.245,92.34
16,0.27754852896941495,0.2750860091911841,92.285,92.17
17,0.2760066967338387,0.2742757541658003,92.30166666666666,92.35
18,0.27485112310536125,0.2721871879376188,92.385,92.27
19,0.2737557042255076,0.27120520429143424,92.40333333333334,92.28
20,0.27266905782446427,0.27098343415256543,92.43166666666667,92.25
21,0.2714281337125215,0.2710415058168052,92.49833333333333,92.16
22,0.27050927703949945,0.2701567972102497,92.51833333333333,92.37
23,0.26949912241336377,0.2698766160049016,92.51,92.29
24,0.2685359361043363,0.27060334160452404,92.545,92.28
25,0.2680981279150255,0.2686154712698882,92.565,92.35
