epoch,train_loss,test_loss,train_acc,test_acc
1,1.2726774163591836,0.3613008636085293,56.93666666666667,89.03
2,0.39739540063623174,0.20682561287915782,88.51166666666667,93.75
3,0.27503888798293785,0.1496099348745863,92.28,95.4
4,0.2190375130282028,0.12551941684906995,93.79666666666667,96.18
5,0.18460474420648648,0.10736655381720371,94.9,96.68
6,0.16416047257718755,0.09692752288206469,95.38166666666666,97.01
7,0.1467830619371649,0.08928048914030218,95.85,97.29
8,0.13776306800846097,0.08428234925134037,96.12333333333333,97.5
9,0.1229288454082157,0.08027800731434592,96.47166666666666,97.63
10,0.11640919249322114,0.07621300903692711,96.705,97.76
11,0.10898327779795315,0.07439688241729643,96.87666666666667,97.74
12,0.10278085128330727,0.0720781140763289,97.05333333333333,97.94
13,0.09637830267821167,0.07029591160023267,97.29833333333333,97.94
14,0.09148283528168001,0.06904801515541098,97.45666666666666,98.05
15,0.08781845316386172,0.06938058553931091,97.48833333333333,97.96
16,0.08488680456262598,0.07003689505958552,97.615,98.07
17,0.0804167099461865,0.06576663275898428,97.655,98.13
18,0.07506293269879083,0.06883064736103744,97.80666666666667,98.08
19,0.07128670971705588,0.07006438019467352,97.88333333333334,98.11
20,0.07363617400041045,0.0679086623958362,97.88,98.03
21,0.06704844216277986,0.06854437342351244,97.995,98.16
22,0.06612651638472195,0.0666633535053469,98.03166666666667,98.1
23,0.06620794371056404,0.06232655208220387,98.07833333333333,98.28
24,0.06238016281634379,0.06364756700230241,98.21666666666667,98.22
25,0.05941052364507146,0.06625191174394855,98.24166666666666,98.28
