CommRound,Acc,Loss,Time
0,8.99,2.3025615969790687,6.252370595932007
1,20.44,2.142380233052411,37.165184020996094
2,54.73,1.3556558527523959,34.239338636398315
3,62.33,1.0875200319893752,34.62481617927551
4,75.5,0.7684271467637412,45.97518014907837
5,78.92,0.657940000295639,33.7449734210968
6,86.36,0.46163670001905177,44.22313833236694
7,86.8,0.4305659018551247,40.78248429298401
8,85.8,0.4945389137992376,40.074092626571655
9,89.14,0.422195914802672,36.846948862075806
10,89.6,0.43699670149178443,42.78411054611206
11,88.94,0.47710894338220733,34.353227853775024
12,88.48,0.4580270386289192,53.22977137565613
13,89.33,0.47195106235486045,42.97747778892517
14,89.9,0.47437514869284025,43.48750162124634
15,90.07,0.49185703707788186,41.7565062046051
16,90.46,0.48405969524873965,38.314836502075195
17,90.33,0.5020719676903342,37.74587154388428
18,90.36,0.5097667634298529,36.63868427276611
19,90.38,0.51886976215564,36.88190245628357
20,90.38,0.5261858601205617,42.749138593673706
21,90.38,0.5323768481376427,35.01778292655945
22,90.35,0.5390443158383139,35.07992219924927
23,90.37,0.5438534519399363,54.27428078651428
24,90.36,0.5485735282278325,46.80480933189392
25,90.37,0.5520937654743844,39.94175410270691
26,90.39,0.5563487862413631,44.386104106903076
27,90.39,0.5596632669691609,47.48774242401123
28,90.38,0.5631729626815908,58.63563895225525
29,90.39,0.5660937508403123,42.44909143447876
30,90.34,0.5690657317084319,53.10913801193237
