CommRound,Acc,Loss,Time
0,8.99,2.3025615969790687,5.627123117446899
1,29.64,1.9785863493062272,64.69358038902283
2,52.51,1.3962890528425385,52.3354766368866
3,65.98,0.9785188217706318,55.98329472541809
4,75.6,0.7544539076618001,57.801024198532104
5,83.76,0.5269237735980674,66.99181318283081
6,88.35,0.3840657465537138,51.364641189575195
7,88.95,0.3683051943213125,68.97714757919312
8,88.95,0.3645027045490621,43.789737701416016
9,89.14,0.3582947307466706,65.39634108543396
10,89.39,0.3522188646035104,62.305657148361206
11,89.37,0.34826437864877,56.784428119659424
12,89.4,0.34607423120473,52.85287141799927
13,89.52,0.3440252506421714,65.94014549255371
14,89.66,0.34239208028663565,61.5413384437561
15,89.7,0.34150539774777766,58.19116568565369
16,89.74,0.3406649321977851,56.652729511260986
17,89.78,0.3400999182434399,66.86490631103516
18,89.85,0.3390547845135384,63.19123458862305
19,89.86,0.3382402955071081,62.52680206298828
20,89.92,0.3375073485783761,55.03694987297058
21,89.94,0.33703772702454765,54.74567365646362
22,90.03,0.3363332473731871,69.7445695400238
23,90.04,0.33573952347888975,63.1389434337616
24,90.04,0.3351583498518301,67.24568772315979
25,90.05,0.33482963693198525,66.30856108665466
26,90.05,0.3343604776913984,57.61725306510925
27,90.05,0.33407260008344924,58.58171105384827
28,90.08,0.33364824936548365,64.18972039222717
29,90.11,0.3331888872375594,65.17424058914185
30,90.12,0.3329877395041381,49.44336295127869
