CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,7.070691108703613
1,17.23,2.953615082970148,398.9163682460785
2,49.44,1.4730114740661429,377.1520586013794
3,71.21,0.790258412496953,411.5151960849762
4,76.7,0.677191236539732,400.7311341762543
5,76.12,0.6676527812511106,400.5033266544342
6,83.72,0.5618178280471247,430.30436182022095
7,87.31,0.42995052388574506,444.80220580101013
8,89.15,0.3575704224596295,394.997967004776
9,89.4,0.34792526155898845,415.9486312866211
10,89.61,0.33970840760990034,409.1480247974396
11,89.8,0.3349979361872884,407.20789313316345
12,89.96,0.3312525664326511,381.162752866745
13,89.96,0.3283179824865317,416.9203083515167
14,90.12,0.3258305182091043,395.89061880111694
15,90.2,0.324010106345898,387.98930740356445
16,90.23,0.32197220689510997,420.8710563182831
17,90.26,0.3199851231861718,428.81630969047546
18,90.36,0.31839080890522725,406.16160893440247
19,90.42,0.3171230644647834,446.9988079071045
20,90.45,0.3157069111077846,419.0016829967499
21,90.48,0.31409595586076566,400.9448528289795
22,90.54,0.31279106089208697,389.04387521743774
23,90.57,0.31174779244804685,382.240540266037
24,90.66,0.31036785622186297,390.98168087005615
25,90.7,0.3094937012448341,400.1621129512787
26,90.75,0.30846315230938454,397.46803975105286
27,90.76,0.30773495995922934,378.2372033596039
28,90.74,0.3069302819292002,392.8739869594574
29,90.76,0.3062589155816579,382.1778769493103
30,90.78,0.3055450267901149,418.55586671829224
