CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,5.106498956680298
1,9.8,2.3002118158944045,211.06783485412598
2,9.8,2.2860106003435354,206.53724694252014
3,29.65,1.8602156307123885,213.1420533657074
4,71.18,0.86637821529485,230.36748552322388
5,80.7,0.5656804676297345,226.2974498271942
6,86.99,0.44771370989612386,217.1518669128418
7,90.22,0.3327892539150353,202.55449318885803
8,92.17,0.25648619173259674,225.83028388023376
9,91.65,0.2541675438420682,208.53312873840332
10,93.05,0.23322849462539713,215.00410866737366
11,92.29,0.2257803666487902,226.70238399505615
12,92.47,0.23446326593196468,227.80896544456482
13,94.11,0.18973753074349103,235.65066385269165
14,94.03,0.1959257148548112,220.18891716003418
15,93.73,0.20570004202390113,216.39858770370483
16,94.67,0.18625180813766828,231.14478874206543
17,95.18,0.16583236458393025,201.81280159950256
18,95.16,0.17090890394476585,229.81411123275757
19,95.44,0.16143099197092217,236.78109526634216
20,95.29,0.16482945919608627,219.7039680480957
21,95.4,0.15895962431773403,220.25400161743164
22,95.47,0.15994646051851444,219.91706371307373
23,95.47,0.15798980551270791,200.17652535438538
24,95.5,0.15736856408965408,213.13934016227722
25,95.5,0.15668856112811055,217.91268610954285
26,95.54,0.1560148805913315,209.20977926254272
27,95.57,0.1555192095192173,186.19772171974182
28,95.56,0.1549423409351796,211.7818431854248
29,95.6,0.15448156125472176,225.7397050857544
30,95.61,0.154002372490808,238.74366188049316
