CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,5.091711044311523
1,10.28,2.8535776440101333,204.94661951065063
2,18.26,2.7473940879483765,221.2347366809845
3,28.42,2.0945968627929688,220.0930392742157
4,30.97,1.8042615787892402,181.5590033531189
5,60.05,1.1961901746218717,216.20525407791138
6,65.94,1.0429483901096295,216.97826504707336
7,77.39,0.6195531110220318,212.36619091033936
8,85.6,0.46951358001443405,209.4980170726776
9,85.98,0.4120578603653968,224.14888906478882
10,86.17,0.3960287143723874,222.37786650657654
11,87.53,0.3695556781714476,206.49050879478455
12,87.91,0.3541994858768922,207.35924983024597
13,88.35,0.40480344775545446,192.32050895690918
14,88.02,0.39896623615788507,199.5714898109436
15,89.79,0.3308816900170302,209.96756720542908
16,89.45,0.35253717726733114,225.478844165802
17,90.25,0.3129470492654209,228.20135378837585
18,90.13,0.320353295701214,177.00971102714539
19,90.2,0.31753680548524554,199.7415542602539
20,90.28,0.3157763875832286,212.68952465057373
21,90.29,0.31402059866091875,200.6968653202057
22,90.28,0.31261960624516766,211.93972897529602
23,90.32,0.311410091157201,220.58964562416077
24,90.39,0.30989968399458295,216.82762908935547
25,90.43,0.3089837678059747,215.2064266204834
26,90.43,0.3079777622619007,213.37145018577576
27,90.45,0.3074401309595832,218.4507133960724
28,90.48,0.3065064308952682,173.51568293571472
29,90.55,0.3057090907911711,197.31824040412903
30,90.59,0.3047964309778395,221.8799283504486
