CommRound,Acc,Loss,Time
0,10.32,2.304632198961475,5.541767120361328
1,12.65,3.242692401137533,361.11823177337646
2,10.29,3.935743799692468,372.3932592868805
3,22.37,2.2303984014293814,361.27704524993896
4,15.24,2.567338475698157,365.96695613861084
5,30.36,1.9033213325693636,351.5249869823456
6,40.78,1.7549253626714778,367.7664830684662
7,55.15,1.4115437103223196,369.3068964481354
8,57.99,1.2972439965115319,379.90909147262573
9,58.79,1.2426261524610882,382.38400530815125
10,62.04,1.050693315041216,375.14462065696716
11,59.75,1.1519117808040185,401.670711517334
12,66.28,0.9810474552685702,352.8168647289276
13,71.73,0.9106517358671261,370.52455472946167
14,69.53,0.9418315819547146,354.4253478050232
15,66.1,1.0098778228216534,369.93795442581177
16,67.2,0.9534645631343504,328.7088828086853
17,63.58,1.0599369542508186,354.63439416885376
18,70.48,0.8248789955543566,377.8797767162323
19,74.45,0.7079154954680914,346.7590367794037
