CommRound,Acc,Loss,Time
0,8.99,2.3025615969790687,8.466159582138062
1,27.71,2.1072010963777954,49.69896221160889
2,52.91,1.4346559440033346,62.18121385574341
3,69.62,0.8733158228518088,55.630733013153076
4,79.7,0.6476356504084189,51.380863189697266
5,85.42,0.47911577794370774,56.08615803718567
6,84.87,0.5031344168171098,70.30001282691956
7,88.77,0.38608220714745645,67.89362001419067
8,89.79,0.3520476405001894,75.69245862960815
9,89.34,0.35755969805619386,66.15084075927734
10,89.56,0.3532691497968722,62.44638776779175
11,89.44,0.3489390203281294,56.61725306510925
12,89.52,0.3464477575749536,66.87742471694946
13,89.6,0.34362522984230065,57.49579048156738
14,89.67,0.3411868192444119,77.43426704406738
15,89.71,0.339781872880987,69.03267860412598
16,89.76,0.3378849902862235,60.50466537475586
17,89.79,0.3362806556817097,65.15617966651917
18,89.84,0.33520458695254746,64.91209959983826
19,89.9,0.33372067292279833,62.504284620285034
20,89.9,0.3327031519877005,61.2336790561676
21,89.95,0.33144523363701905,56.48815417289734
22,90.01,0.33040832353260696,64.78395509719849
23,89.99,0.32989746681119825,63.135884284973145
24,90.07,0.32898281674973573,57.40119457244873
25,90.12,0.328294178164458,51.51683235168457
26,90.13,0.32766549173695375,49.754544734954834
27,90.14,0.327082487058979,44.92618203163147
28,90.14,0.3265967008575231,73.92834043502808
29,90.15,0.32603740982145446,64.82152438163757
30,90.23,0.32553115244247494,75.2724015712738
