exp1,run1,6523.65330862999
exp2,run1,6016.09600019455
exp3,run1,12069.637423992157
exp4,run1,6122.24502658844
exp5,run1,11014.343619585037
exp6,run1,11215.534039020538
exp7,run1,6281.84393119812
exp8,run1,5990.000998497009
exp10,run1,6293.210453748703
exp11,run1,12285.396340847015
exp12,run1,29706.30531024933
exp13,run1,6242.778217554092
exp14,run1,6275.419703722
exp15,run1,6550.698023319244
exp16,run1,6283.135965585709
exp17,run1,12134.816667318344
exp18,run1,12679.440658330917
exp19,run1,12135.39898276329
exp21,run1,36709.91087985039
exp23,run1,943.6228928565979
exp25,run1,2402.917069911957
exp26,run1,1811.0802166461945
exp27,run1,1820.0743083953857
exp28,run1,1140.986648797989
exp29,run1,1747.5758137702942
exp30,run1,1869.8342077732086
exp31,run1,2097.1009137630463
exp32,run1,1208.815264225006
exp33,run1,1520.5253195762634
exp34,run1,1379.484390258789
