CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,5.2405335903167725
1,22.74,1.9233733581591257,394.8046715259552
2,69.93,0.9829784311071227,426.28915905952454
3,77.95,0.8110556049814707,397.67370343208313
4,80.28,0.7381815189802194,414.5314998626709
5,82.73,0.671754958838979,410.11612272262573
6,83.95,0.6266251243650913,406.9839115142822
7,82.96,0.7223364743816701,440.71275210380554
8,83.82,0.6681205970765669,390.3490934371948
9,83.36,0.7430999371918696,392.09903025627136
10,83.64,0.746922291909592,420.32245326042175
11,84.72,0.7513208939116213,389.5272617340088
12,84.37,0.7262841269279583,407.570675611496
13,83.57,0.7972630161461951,429.39145135879517
14,84.74,0.7899662643859658,425.69791865348816
15,85.24,0.7980409178269815,414.6554388999939
16,84.87,0.845477107582213,393.8964161872864
17,85.73,0.82380708486219,420.9998824596405
18,85.78,0.8363526890266545,396.2502660751343
19,85.96,0.8461831185400863,414.0016734600067
20,86.12,0.8560332314971881,417.02541041374207
21,86.17,0.865186635428403,388.3905870914459
22,86.16,0.8747471762891812,410.5498580932617
23,86.18,0.8839459514740524,393.2648973464966
24,86.21,0.8929286197983201,407.37705421447754
25,86.19,0.9011994793751761,396.5874090194702
26,86.21,0.9092869846433212,405.0981214046478
27,86.19,0.9174340551223936,414.4830627441406
28,86.16,0.9247079534644757,424.82917857170105
29,86.15,0.9320596089421571,440.3577947616577
30,86.15,0.9391737251271364,396.31425070762634
