CommRound,Acc,Loss,Time
0,8.09,2.3090795836871183,6.409864664077759
1,36.56,1.948841146275967,33.14774990081787
2,70.98,0.9608112347276905,34.32977509498596
3,79.95,0.6640660377997386,40.30203819274902
4,78.14,0.601056218901767,39.27433133125305
5,83.38,0.5038311817223513,38.89640927314758
6,80.84,0.6631719262539586,38.92393660545349
7,87.02,0.4357172153135644,36.958126068115234
8,91.11,0.32516968522303374,34.05248713493347
9,87.81,0.488417309019243,34.60014462471008
10,78.44,0.6363622459429729,33.78943967819214
11,90.16,0.3382201233666532,34.51776599884033
12,90.59,0.37073740159762625,34.896225452423096
13,90.03,0.43118084949453045,39.682178020477295
14,90.6,0.4156730688424616,37.8463020324707
15,89.92,0.46271333977863005,34.66665458679199
16,90.36,0.44790926125914426,34.38941478729248
17,91.2,0.4201531005239326,34.846877098083496
18,91.13,0.42875323601102433,34.055214405059814
19,91.15,0.43494496147054,34.26930904388428
20,91.15,0.44209289664028306,33.47641444206238
21,91.14,0.4472765351831324,34.039082527160645
22,91.1,0.45230316354294864,34.852294921875
23,91.13,0.4564837780582153,34.25034260749817
24,91.11,0.46041654523084813,39.23427677154541
25,91.12,0.4640441381507347,34.22718548774719
26,91.15,0.4674226580986376,35.516438484191895
27,91.13,0.4703817336482609,34.93639302253723
28,91.16,0.4730707125007352,34.64109563827515
29,91.17,0.4753251910751945,34.34062719345093
30,91.16,0.47737535861721614,36.109633445739746
