CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,9.18678879737854
1,10.28,2.864521648310408,417.5901734828949
2,29.47,1.890029386629032,377.3025372028351
3,34.04,1.601527183870726,371.02490305900574
4,37.67,1.7453499579731422,385.049902677536
5,32.85,1.826655077028878,419.88963294029236
6,27.46,1.88729271254962,397.8986463546753
7,44.69,1.4252759550191179,388.1164040565491
8,10.28,3.4428709307803382,434.36911725997925
9,46.14,1.4904813826838625,397.7080707550049
10,10.28,3.4084575055520747,379.492116689682
11,25.59,2.064272370519517,413.8944773674011
12,33.87,1.6929225499116922,381.87868094444275
13,18.19,2.375865079179595,414.65911769866943
14,35.75,1.7967224739774872,403.60419034957886
15,11.83,3.1601888680759864,409.94547295570374
16,32.63,1.8681202161161206,390.7834212779999
17,21.1,2.2397585413123986,407.95613837242126
18,27.35,2.1925814498828937,409.92314291000366
19,64.43,1.190081303632712,408.7470648288727
20,41.88,1.7259238988538332,418.6360013484955
21,44.17,1.7299941702734065,388.83143401145935
22,10.29,3.652025382730025,405.4460988044739
23,10.28,3.2844707241541222,402.2633891105652
24,10.28,3.2896694050559514,411.5766999721527
25,10.28,3.2681398663339736,391.3179888725281
26,10.28,3.2379161134550842,413.02686619758606
27,10.28,3.207901176018051,411.1336305141449
28,10.28,3.189211368560791,409.9946005344391
29,10.28,3.1757983678503883,390.75836992263794
30,10.28,3.1616235564026653,407.5864818096161
