CommRound,Acc,Loss,Time
0,8.99,2.3025615969790687,5.501201152801514
1,18.62,2.3476520278785804,27.695843935012817
2,39.17,1.6515970396090158,32.32508683204651
3,46.5,1.4016134361677532,30.41154384613037
4,58.83,1.074821153019048,29.229631662368774
5,78.0,0.7315547092805935,39.086325883865356
6,82.1,0.593461265480971,37.79799127578735
7,87.2,0.44918691753586637,29.657883405685425
8,88.21,0.40890010163376606,21.84806489944458
9,86.28,0.45518096998522556,39.507205963134766
10,86.22,0.46959925640987443,36.7752890586853
11,87.8,0.4018311059173149,32.202698945999146
12,87.4,0.4042465872591055,24.668991088867188
13,89.05,0.3813620167253893,33.356425523757935
14,89.3,0.3782024150596389,31.763960361480713
15,89.38,0.3730556604134131,34.98993396759033
16,89.49,0.3641429182283486,25.14433479309082
17,89.62,0.3632810842953151,32.9477903842926
18,89.66,0.36214167619996435,27.538740634918213
19,89.66,0.36054052450234375,21.823424100875854
20,89.66,0.36000869635351096,31.477802276611328
21,89.65,0.35959320062700706,33.9849488735199
22,89.63,0.35924957315378553,38.654555559158325
23,89.66,0.3589356636416309,30.092679977416992
24,89.73,0.3580289013872418,25.051154136657715
25,89.67,0.35732704283127303,31.419705152511597
26,89.68,0.3570490952911256,31.546630859375
27,89.65,0.3569736075646515,34.12610459327698
28,89.62,0.3568154485966963,39.42926383018494
29,89.68,0.35684578490879715,30.31364631652832
30,89.68,0.3566294828123307,23.244243621826172
