epoch,train_loss,test_loss,train_acc,test_acc
1,0.35490880012194487,0.12169993165408886,89.055,96.27
2,0.09837529234000361,0.07018667832901111,97.07833333333333,97.67
3,0.07328559951320576,0.05554311735484796,97.77666666666667,98.17
4,0.06011001189559031,0.048949399837395886,98.17166666666667,98.45
5,0.053094120446973835,0.044361699435158476,98.35833333333333,98.63
6,0.04833880521412661,0.04492449169481892,98.52666666666667,98.52
7,0.04367486312429407,0.03825447832870067,98.65666666666667,98.69
8,0.040153001935016724,0.03921092143728062,98.79833333333333,98.68
9,0.03730832934225681,0.04071857459228663,98.855,98.68
10,0.03471194742607878,0.032738841588600076,98.945,98.85
11,0.03254932795178646,0.03785007059923373,99.03166666666667,98.82
12,0.03084445002921688,0.04435263565907997,99.05166666666666,98.54
13,0.028136289613232064,0.03442719168489492,99.15166666666667,98.86
14,0.026917941553810082,0.03466400589397519,99.15333333333334,98.95
15,0.02553963233932241,0.033108167975287754,99.22666666666667,98.91
16,0.023772661864106207,0.03479271983032268,99.275,98.93
17,0.023173597725932357,0.0316703088624481,99.29833333333333,98.96
18,0.02098580328415015,0.035116665638362306,99.375,98.87
19,0.020511684276392935,0.031050616364684428,99.36166666666666,98.86
20,0.01899040868006416,0.03765120543719121,99.41,98.75
21,0.01785739806335745,0.03360741753848616,99.45166666666667,98.92
22,0.017138583936479324,0.03396892468953399,99.45666666666666,98.93
23,0.016924624081089426,0.039727864903858365,99.44833333333334,98.83
24,0.015633242209501533,0.035406654916659126,99.53166666666667,98.97
25,0.015181808072432225,0.03380555468745886,99.53,99.0
1,0.35490880012194487,0.12169993165408886,89.055,96.27
2,0.09837529234000361,0.07018667832901111,97.07833333333333,97.67
3,0.07328559951320576,0.05554311735484796,97.77666666666667,98.17
4,0.06011001189559031,0.048949399837395886,98.17166666666667,98.45
5,0.053094120446973835,0.044361699435158476,98.35833333333333,98.63
6,0.04833880521412661,0.04492449169481892,98.52666666666667,98.52
7,0.04367486312429407,0.03825447832870067,98.65666666666667,98.69
8,0.040153001935016724,0.03921092143728062,98.79833333333333,98.68
9,0.03730832934225681,0.04071857459228663,98.855,98.68
10,0.03471194742607878,0.032738841588600076,98.945,98.85
11,0.03254932795178646,0.03785007059923373,99.03166666666667,98.82
12,0.03084445002921688,0.04435263565907997,99.05166666666666,98.54
13,0.028136289613232064,0.03442719168489492,99.15166666666667,98.86
14,0.026917941553810082,0.03466400589397519,99.15333333333334,98.95
15,0.02553963233932241,0.033108167975287754,99.22666666666667,98.91
16,0.023772661864106207,0.03479271983032268,99.275,98.93
17,0.023173597725932357,0.0316703088624481,99.29833333333333,98.96
18,0.02098580328415015,0.035116665638362306,99.375,98.87
19,0.020511684276392935,0.031050616364684428,99.36166666666666,98.86
20,0.01899040868006416,0.03765120543719121,99.41,98.75
21,0.01785739806335745,0.03360741753848616,99.45166666666667,98.92
22,0.017138583936479324,0.03396892468953399,99.45666666666666,98.93
23,0.016924624081089426,0.039727864903858365,99.44833333333334,98.83
24,0.015633242209501533,0.035406654916659126,99.53166666666667,98.97
25,0.015181808072432225,0.03380555468745886,99.53,99.0
