CommRound,Acc,Loss,Time
0,7.79,2.303764747667916,12.103245973587036
1,10.28,3.3448281137249136,19.713304042816162
2,19.78,2.8396598870241188,18.622729539871216
3,30.06,2.1745335391805143,16.486300945281982
4,41.28,1.7732200230224222,14.600915908813477
5,49.77,1.4618965138362934,19.370211839675903
6,56.96,1.2247659548928467,18.74724006652832
7,64.01,1.0081330673604072,18.308652877807617
8,68.39,0.8760683630840688,16.92076826095581
9,74.63,0.727182043881356,14.670680522918701
10,76.16,0.6867577248736273,19.22476553916931
11,76.54,0.6803060517280917,18.604878902435303
12,77.35,0.6393778923946091,18.800246000289917
13,78.38,0.6115215018957476,14.304640054702759
14,78.99,0.6015096736859672,13.041853189468384
15,80.75,0.5613803184485133,13.382331848144531
16,79.1,0.6139501759523078,13.480935096740723
