CommRound,Acc,Loss,Time
0,8.99,2.3025615969790687,8.951624155044556
1,40.41,1.65283105343203,80.60283136367798
2,70.36,0.8775486561316478,75.04730916023254
3,84.49,0.5369229007370865,77.20008206367493
4,86.31,0.47187227293660367,80.2269537448883
5,88.51,0.4686917069403431,104.04895234107971
6,89.3,0.4551285120269543,61.45038032531738
7,90.02,0.435422560105784,66.31917214393616
8,88.27,0.5048410417629948,67.77917981147766
9,85.66,0.5475498800979385,61.25423860549927
10,90.14,0.45329510749470964,64.16519808769226
11,91.23,0.43735083629365396,67.62621855735779
12,91.44,0.4479210339987627,81.02180552482605
13,91.36,0.4624977100852735,63.76677489280701
14,91.36,0.47207934032135374,63.24237632751465
15,91.37,0.4795986153362201,66.18064832687378
16,91.32,0.48599918684450605,62.41202425956726
17,91.33,0.49114033626097764,62.978806018829346
18,91.35,0.49537845025475646,70.62574887275696
19,91.37,0.49894877051333364,64.4570562839508
20,91.38,0.5019219871109375,84.4579815864563
21,91.38,0.5044983417279075,71.17697668075562
22,91.36,0.506606401728254,63.20936369895935
23,91.36,0.5083793862752286,61.07621955871582
24,91.35,0.5100136294790036,63.4534797668457
25,91.33,0.5112995335793924,65.23174047470093
26,91.33,0.5123668169054568,63.752562046051025
27,91.34,0.5131381795258273,64.67980790138245
28,91.35,0.513815546736911,62.902019739151
29,91.35,0.5142206422353894,78.90534615516663
30,91.35,0.5145283988382243,68.85836720466614
