CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,5.193241119384766
1,18.49,2.6710045518754404,432.368186712265
2,37.43,1.7045827515517609,408.46084690093994
3,68.15,0.9160217212725289,413.7193899154663
4,72.75,0.8121455851234968,388.56271147727966
5,78.02,0.6511570999893961,404.81524205207825
6,81.09,0.5856190303081199,388.7679419517517
7,85.73,0.5099602903746352,427.3543219566345
8,88.73,0.39649460167635847,396.7277901172638
9,89.93,0.34245780563052697,380.8080778121948
10,89.95,0.33986259596068646,417.23772263526917
11,89.99,0.3389237692838983,395.41618394851685
12,90.04,0.3374783572139619,412.4893798828125
13,90.18,0.3363688940866084,428.20972967147827
14,90.19,0.3355881611851952,426.0898082256317
15,90.27,0.33469585135956353,402.65913462638855
16,90.26,0.33377545006290266,411.1483895778656
17,90.33,0.33280291361144826,410.2284972667694
18,90.34,0.33171581528797933,502.0683672428131
19,90.36,0.3305952240583263,432.90359473228455
20,90.39,0.32977552575212493,398.72519850730896
21,90.4,0.32892644782609576,427.03701305389404
22,90.41,0.32826702334458313,403.3037700653076
23,90.43,0.3277281389300582,442.7663371562958
24,90.46,0.32710226163079464,448.5284888744354
25,90.49,0.326622870668203,444.2016167640686
26,90.52,0.32611086403455913,594.9100198745728
