CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,33.26208257675171
1,18.44,2.731926507587674,441.6153335571289
2,40.95,1.7016823110701162,438.49177718162537
3,73.73,0.7929816838306717,436.0658235549927
4,77.21,0.6774366560238826,458.6758840084076
5,83.88,0.49435154961634287,448.16881132125854
6,87.37,0.40200610572024237,444.0499906539917
7,87.12,0.43362520503092417,404.96185088157654
8,86.15,0.446701092527637,403.5140383243561
9,87.2,0.42872534116989447,407.5160114765167
10,89.41,0.3511544698495654,441.7535479068756
11,89.88,0.33689522040607056,414.62546849250793
12,90.21,0.32611569172785254,407.4309537410736
13,90.24,0.3219040553498117,448.5499083995819
14,90.32,0.31844134883412833,426.23511481285095
15,90.41,0.31570990397771703,385.2272996902466
16,90.5,0.3136272165405599,445.82090306282043
17,90.55,0.31184144502010525,391.094117641449
18,90.67,0.3102273575584345,390.83429431915283
19,90.69,0.30887328606994846,410.39700531959534
20,90.72,0.3078613276062887,410.48093700408936
21,90.73,0.30685578380958944,403.701016664505
22,90.74,0.30603733206097083,413.71131134033203
23,90.76,0.30517625304151186,418.6630265712738
24,90.8,0.3043973952814748,468.6458258628845
25,90.83,0.3036849297394481,433.84155344963074
26,90.82,0.30292940158632736,419.2621054649353
27,90.86,0.30235609610246705,413.05511474609375
28,90.87,0.30170918402226665,417.63982582092285
29,90.92,0.3012867184662366,395.99789118766785
30,90.94,0.3007652083812635,406.1063163280487
