CommRound,Acc,Loss,Time
0,8.99,2.3025615969790687,9.543444156646729
1,20.0,2.154844252369072,32.8000705242157
2,53.37,1.3012698858599119,32.00684833526611
3,62.14,1.0648768845992753,32.51858615875244
4,72.18,0.8383989783027505,32.594088077545166
5,79.38,0.6769669570877582,31.956844091415405
6,82.48,0.5429663724159892,32.55297875404358
7,85.59,0.48748896318145946,37.07414484024048
8,87.26,0.44219931413101243,37.23497247695923
9,86.87,0.4475747377057619,38.36168646812439
10,88.6,0.42884345923232126,38.336479902267456
11,89.7,0.42988189024544216,33.008718490600586
12,89.36,0.4761647793311107,37.85691165924072
13,90.38,0.45185394945872737,39.58240032196045
14,90.5,0.4660229623152674,32.508155822753906
15,90.4,0.48931095531634705,38.05463647842407
16,90.36,0.5090248769773995,37.72832489013672
17,90.63,0.5043110055436345,37.83857703208923
18,90.61,0.5150845672322225,36.602044343948364
19,90.63,0.523663269314632,37.040855407714844
20,90.65,0.5306107196897929,37.17258882522583
21,90.64,0.5362518493121466,38.99175977706909
22,90.63,0.5416161858040509,38.01745891571045
23,90.62,0.5463371738449588,38.84263014793396
24,90.61,0.5505038393673168,39.27256751060486
25,90.6,0.5544779177613651,38.830880880355835
26,90.61,0.5581682924051545,38.40869641304016
27,90.58,0.5613845857096058,32.886327505111694
28,90.55,0.5645103405901715,33.35295271873474
29,90.55,0.5674650366712786,33.14455485343933
30,90.53,0.5701225823840669,33.44996476173401
