CommRound,Acc,Loss,Time
0,8.99,2.3025615969790687,14.01845407485962
1,28.14,2.0166728677628916,49.77561712265015
2,49.18,1.4949858716771574,34.87070679664612
3,68.44,0.908824812762345,49.2296097278595
4,77.22,0.7119973520689373,53.252602100372314
5,81.89,0.6135348021229611,43.85791492462158
6,86.26,0.4813427853433392,36.648059368133545
7,86.1,0.5450852483133727,34.95648789405823
8,87.16,0.508779673212314,41.4600293636322
9,89.06,0.44850221266852147,36.04311418533325
10,87.98,0.5255811693311869,35.96735978126526
11,85.11,0.630581731283212,42.85611176490784
12,90.08,0.421821145482267,36.127569913864136
13,87.9,0.5253175547275739,36.6293408870697
14,88.42,0.5306240545137774,52.560792684555054
15,90.43,0.4604537341142474,62.65658974647522
16,90.41,0.47476804340729795,62.65603256225586
17,90.63,0.47635173297758343,44.910561084747314
18,90.71,0.48277538171320966,56.44188666343689
19,90.69,0.4873960638312694,58.327412843704224
20,90.69,0.491898797705911,37.994516134262085
21,90.7,0.4958711563214612,64.4143135547638
22,90.72,0.499080079032957,60.85089445114136
23,90.75,0.5020989694255346,68.35015940666199
24,90.8,0.5047423790527296,59.671032667160034
25,90.83,0.5072804159702898,55.62261891365051
26,90.85,0.509243770137052,56.517033100128174
27,90.85,0.5111424207710956,61.72520589828491
28,90.81,0.5129274466410987,61.71604037284851
29,90.8,0.5146934903120692,51.20903658866882
30,90.8,0.5162830038962862,59.107067584991455
