CommRound,Acc,Loss,Time
0,8.92,2.304580703566346,5.469029188156128
1,10.28,3.5162749109388907,194.48273372650146
2,10.28,3.0978369652470454,198.73839354515076
3,18.52,2.5654756721061998,207.30899786949158
4,29.0,1.9909857390802117,195.00362396240234
5,45.23,1.526487392715261,193.9300992488861
6,54.97,1.346963496902321,204.20824027061462
7,65.1,0.977974374083024,192.94556856155396
8,70.0,0.8520360981361775,202.73138785362244
9,75.09,0.7009696662425995,204.5569052696228
10,81.96,0.552594932479949,196.06210851669312
11,83.42,0.5358253367528131,206.50882291793823
12,84.38,0.5206157219938085,196.88219261169434
13,84.83,0.5069058042349694,190.39044857025146
14,82.19,0.7217128755925577,209.05675053596497
15,82.42,0.5701563812886612,197.65759372711182
16,87.45,0.5062055637753462,208.12943696975708
17,86.48,0.480940179451357,184.58090829849243
18,85.71,0.6136033198312868,198.73650908470154
19,87.46,0.431912960696824,185.82838225364685
20,86.15,0.5903221723399584,210.80680179595947
21,86.88,0.561313570300235,196.83386635780334
22,88.08,0.5434953002141246,211.87617778778076
23,88.81,0.5365912900129451,217.74145698547363
24,88.83,0.5571309889230547,211.4182586669922
25,88.85,0.5698980335381967,225.75425910949707
26,88.86,0.5811782108643387,212.48001909255981
27,88.88,0.591100223456757,208.2239990234375
28,88.95,0.5990790590360949,228.99487948417664
29,88.94,0.606966231442705,208.08246397972107
30,88.98,0.6134315854575061,216.79639267921448
